JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
SIT	Journal de situation	1	20250101	486	Charges constatées d'avance			30	20250101	Extourne - PIPEDRIVE 27/12/24-27/01/24	0,0	20,25				-20,25	EUR
SIT	Journal de situation	1	20250101	6510800009	REDEVANCES - PIPEDRIVE (TVA 20%)			30	20250101	Extourne - PIPEDRIVE 27/12/24-27/01/24	20,25	0,0				20,25	EUR
SIT	Journal de situation	2	20250101	6226200009	HONORAIRES GESTION SOCIALE (TVA 20%)			31	20250101	Extourne - HONORAIRES SOCIAUX 12.24	0,0	54,0				-54,00	EUR
SIT	Journal de situation	2	20250101	4081	Fournisseurs			31	20250101	Extourne - HONORAIRES SOCIAUX 12.24	64,8	0,0	A	20250101		64,80	EUR
SIT	Journal de situation	2	20250101	44586	Taxes sur le chiffre d'affaires sur factures non parvenues			31	20250101	Extourne - HONORAIRES SOCIAUX 12.24	0,0	10,8				-10,80	EUR
SIT	Journal de situation	3	20250101	4081	Fournisseurs			32	20250101	Extourne - PRORAYONNAGE	730,66	0,0	A	20250101		730,66	EUR
SIT	Journal de situation	3	20250101	6063	Fournitures d'entretien et de petit équipement			32	20250101	Extourne - PRORAYONNAGE	0,0	730,66				-730,66	EUR
SIT	Journal de situation	4	20250101	6140000003	Charges locatives et de copropriété (Pas de TVA)			33	20250101	Extourne - RIVP 01/01/25-31/01/25	971,8	0,0				971,80	EUR
SIT	Journal de situation	4	20250101	486	Charges constatées d'avance			33	20250101	Extourne - RIVP 01/01/25-31/01/25	0,0	971,8				-971,80	EUR
SIT	Journal de situation	5	20250101	6226	Honoraires Expert-Comptable			34	20250101	Extourne - HONORAIRES SCAN FACTURES PAPIERS	0,0	250,0				-250,00	EUR
SIT	Journal de situation	5	20250101	44586	Taxes sur le chiffre d'affaires sur factures non parvenues			34	20250101	Extourne - HONORAIRES SCAN FACTURES PAPIERS	0,0	50,0				-50,00	EUR
SIT	Journal de situation	5	20250101	4081	Fournisseurs			34	20250101	Extourne - HONORAIRES SCAN FACTURES PAPIERS	300,0	0,0	A	20250101		300,00	EUR
SIT	Journal de situation	6	20250101	486	Charges constatées d'avance			35	20250101	Extourne - GAN ASSURANCES 01/04/2024-31/03/2025	0,0	515,57				-515,57	EUR
SIT	Journal de situation	6	20250101	6160000003	Primes d'assurances (Pas de TVA)			35	20250101	Extourne - GAN ASSURANCES 01/04/2024-31/03/2025	515,57	0,0				515,57	EUR
SIT	Journal de situation	7	20250101	486	Charges constatées d'avance			36	20250101	Extourne - OVH 01/07/24-30/06/25	0,0	6,24				-6,24	EUR
SIT	Journal de situation	7	20250101	6510000009	REDEVANCES POUR CONCESSIONS, BREVETS, LICENCES (TVA 20%)			36	20250101	Extourne - OVH 01/07/24-30/06/25	6,24	0,0				6,24	EUR
SIT	Journal de situation	8	20250101	486	Charges constatées d'avance			37	20250101	Extourne - RIVP 01/01/25-31/01/25	0,0	3098,7				-3098,70	EUR
SIT	Journal de situation	8	20250101	6132000009	Locations immobilières (TVA 20%)			37	20250101	Extourne - RIVP 01/01/25-31/01/25	3098,7	0,0				3098,70	EUR
SIT	Journal de situation	9	20250101	4091	Fournisseurs - Avances et acomptes versés sur commandes			38	20250101	Extourne - PRORAYONNAGE	0,0	730,66				-730,66	EUR
SIT	Journal de situation	9	20250101	401	Fournisseurs	401PRORAYONNAGE	PRORAYONNAGE	38	20250101	Extourne - PRORAYONNAGE	730,66	0,0	B	20250101		730,66	EUR
SIT	Journal de situation	10	20250101	4091	Fournisseurs - Avances et acomptes versés sur commandes			39	20250101	Extourne - MCPP	0,0	2691,0				-2691,00	EUR
SIT	Journal de situation	10	20250101	401	Fournisseurs	401MCPP	MCPP	39	20250101	Extourne - MCPP	2691,0	0,0				2691,00	EUR
